disease,description,precaution_1,precaution_2,precaution_3,precaution_4,drug
Reaksi obat,Reaksi obat yang merugikan (ADR) adalah cedera yang disebabkan oleh minum obat. ADR dapat terjadi setelah dosis tunggal atau pemberian obat yang berkepanjangan atau hasil dari kombinasi dua atau lebih obat.,Hentikan iritasi,Konsultasikan dengan rumah sakit terdekat,berhenti minum obat,menindaklanjuti,epoetin alfa
Reaksi obat,Reaksi obat yang merugikan (ADR) adalah cedera yang disebabkan oleh minum obat. ADR dapat terjadi setelah dosis tunggal atau pemberian obat yang berkepanjangan atau hasil dari kombinasi dua atau lebih obat.,Hentikan iritasi,Konsultasikan dengan rumah sakit terdekat,berhenti minum obat,menindaklanjuti,lubiprostone
Reaksi obat,Reaksi obat yang merugikan (ADR) adalah cedera yang disebabkan oleh minum obat. ADR dapat terjadi setelah dosis tunggal atau pemberian obat yang berkepanjangan atau hasil dari kombinasi dua atau lebih obat.,Hentikan iritasi,Konsultasikan dengan rumah sakit terdekat,berhenti minum obat,menindaklanjuti,methylnaltrexone
Reaksi obat,Reaksi obat yang merugikan (ADR) adalah cedera yang disebabkan oleh minum obat. ADR dapat terjadi setelah dosis tunggal atau pemberian obat yang berkepanjangan atau hasil dari kombinasi dua atau lebih obat.,Hentikan iritasi,Konsultasikan dengan rumah sakit terdekat,berhenti minum obat,menindaklanjuti,naloxegol
Reaksi obat,Reaksi obat yang merugikan (ADR) adalah cedera yang disebabkan oleh minum obat. ADR dapat terjadi setelah dosis tunggal atau pemberian obat yang berkepanjangan atau hasil dari kombinasi dua atau lebih obat.,Hentikan iritasi,Konsultasikan dengan rumah sakit terdekat,berhenti minum obat,menindaklanjuti,pyridoxine
Malaria,Penyakit menular yang disebabkan oleh parasit protozoa dari keluarga Plasmodium yang dapat ditularkan oleh gigitan nyamuk Anopheles atau oleh jarum atau transfusi yang terkontaminasi. Falciparum malaria adalah tipe yang paling mematikan.,Konsultasikan dengan rumah sakit terdekat,Hindari makanan berminyak,Hindari Makanan Non Veget,Jauhkan nyamuk,artemether / lumefantrine
Malaria,Penyakit menular yang disebabkan oleh parasit protozoa dari keluarga Plasmodium yang dapat ditularkan oleh gigitan nyamuk Anopheles atau oleh jarum atau transfusi yang terkontaminasi. Falciparum malaria adalah tipe yang paling mematikan.,Konsultasikan dengan rumah sakit terdekat,Hindari makanan berminyak,Hindari Makanan Non Veget,Jauhkan nyamuk,mefloquine
Malaria,Penyakit menular yang disebabkan oleh parasit protozoa dari keluarga Plasmodium yang dapat ditularkan oleh gigitan nyamuk Anopheles atau oleh jarum atau transfusi yang terkontaminasi. Falciparum malaria adalah tipe yang paling mematikan.,Konsultasikan dengan rumah sakit terdekat,Hindari makanan berminyak,Hindari Makanan Non Veget,Jauhkan nyamuk,doxycycline
Malaria,Penyakit menular yang disebabkan oleh parasit protozoa dari keluarga Plasmodium yang dapat ditularkan oleh gigitan nyamuk Anopheles atau oleh jarum atau transfusi yang terkontaminasi. Falciparum malaria adalah tipe yang paling mematikan.,Konsultasikan dengan rumah sakit terdekat,Hindari makanan berminyak,Hindari Makanan Non Veget,Jauhkan nyamuk,chloroquine
Malaria,Penyakit menular yang disebabkan oleh parasit protozoa dari keluarga Plasmodium yang dapat ditularkan oleh gigitan nyamuk Anopheles atau oleh jarum atau transfusi yang terkontaminasi. Falciparum malaria adalah tipe yang paling mematikan.,Konsultasikan dengan rumah sakit terdekat,Hindari makanan berminyak,Hindari Makanan Non Veget,Jauhkan nyamuk,hydroxychloroquine
Malaria,Penyakit menular yang disebabkan oleh parasit protozoa dari keluarga Plasmodium yang dapat ditularkan oleh gigitan nyamuk Anopheles atau oleh jarum atau transfusi yang terkontaminasi. Falciparum malaria adalah tipe yang paling mematikan.,Konsultasikan dengan rumah sakit terdekat,Hindari makanan berminyak,Hindari Makanan Non Veget,Jauhkan nyamuk,atovaquone / proguanil
Malaria,Penyakit menular yang disebabkan oleh parasit protozoa dari keluarga Plasmodium yang dapat ditularkan oleh gigitan nyamuk Anopheles atau oleh jarum atau transfusi yang terkontaminasi. Falciparum malaria adalah tipe yang paling mematikan.,Konsultasikan dengan rumah sakit terdekat,Hindari makanan berminyak,Hindari Makanan Non Veget,Jauhkan nyamuk,clindamycin
Malaria,Penyakit menular yang disebabkan oleh parasit protozoa dari keluarga Plasmodium yang dapat ditularkan oleh gigitan nyamuk Anopheles atau oleh jarum atau transfusi yang terkontaminasi. Falciparum malaria adalah tipe yang paling mematikan.,Konsultasikan dengan rumah sakit terdekat,Hindari makanan berminyak,Hindari Makanan Non Veget,Jauhkan nyamuk,primaquine
Malaria,Penyakit menular yang disebabkan oleh parasit protozoa dari keluarga Plasmodium yang dapat ditularkan oleh gigitan nyamuk Anopheles atau oleh jarum atau transfusi yang terkontaminasi. Falciparum malaria adalah tipe yang paling mematikan.,Konsultasikan dengan rumah sakit terdekat,Hindari makanan berminyak,Hindari Makanan Non Veget,Jauhkan nyamuk,atovaquone
Alergi,"Alergi adalah respons sistem kekebalan tubuh terhadap zat asing yang biasanya tidak berbahaya bagi tubuh Anda. Mereka dapat mencakup makanan tertentu, serbuk sari, atau bulu hewan peliharaan. Tugas sistem kekebalan tubuh Anda adalah membuat Anda tetap sehat dengan melawan patogen berbahaya.",Terapkan Calamine,Area penutup dengan perban,,Gunakan es untuk mengompres gatal,diphenhydramine
Alergi,"Alergi adalah respons sistem kekebalan tubuh terhadap zat asing yang biasanya tidak berbahaya bagi tubuh Anda. Mereka dapat mencakup makanan tertentu, serbuk sari, atau bulu hewan peliharaan. Tugas sistem kekebalan tubuh Anda adalah membuat Anda tetap sehat dengan melawan patogen berbahaya.",Terapkan Calamine,Area penutup dengan perban,,Gunakan es untuk mengompres gatal,prednisone
Alergi,"Alergi adalah respons sistem kekebalan tubuh terhadap zat asing yang biasanya tidak berbahaya bagi tubuh Anda. Mereka dapat mencakup makanan tertentu, serbuk sari, atau bulu hewan peliharaan. Tugas sistem kekebalan tubuh Anda adalah membuat Anda tetap sehat dengan melawan patogen berbahaya.",Terapkan Calamine,Area penutup dengan perban,,Gunakan es untuk mengompres gatal,loratadine
