Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Reaksi obat,Hentikan iritasi,Konsultasikan dengan rumah sakit terdekat,berhenti minum obat,menindaklanjuti
Malaria,Konsultasikan dengan rumah sakit terdekat,Hindari makanan berminyak,Hindari Makanan Non Veget,Jauhkan nyamuk
Alergi,Terapkan Calamine,Area penutup dengan perban,,Gunakan es untuk mengompres gatal
Hipotiroidisme,mengurangi stres,latihan,makan sehat,tidur nyenyak
Psoriasis,Cuci tangan dengan air sabun hangat,Hentikan Pendarahan Menggunakan Tekanan,Konsultasikan dengan dokter,mandi garam
GERD (refluks asam lambung),Hindari makanan pedas berlemak,Hindari berbaring setelah makan,mempertahankan berat badan yang sehat,latihan
Kolestasis kronis,mandi air dingin,obat anti gatal,Konsultasikan dengan dokter,makan sehat
Hepatitis A,Konsultasikan dengan rumah sakit terdekat,Cuci tangan melalui,Hindari makanan pedas berlemak,pengobatan
Osteoartritis,parasetamol,Konsultasikan dengan rumah sakit terdekat,menindaklanjuti,mandi garam
Vertigo posisi paroksismal,berbaring,Hindari perubahan tubuh yang tiba -tiba,Hindari pergerakan kepala yang tiba -tiba,santai
Hipoglikemia,berbaring di samping,Periksa pulsa,Minum minuman manis,Konsultasikan dengan dokter
Jerawat,mandi dua kali,Hindari makanan pedas berlemak,Minum banyak air,Hindari terlalu banyak produk
Diabetes,memiliki diet seimbang,latihan,Konsultasikan dengan dokter,menindaklanjuti
Impetigo,Rendam area yang terkena di air hangat,Gunakan antibiotik,Hapus keropeng dengan kain tekan basah,Konsultasikan dengan dokter
Hipertensi,meditasi,mandi garam,mengurangi stres,tidur nyenyak
Tukak lambung,Hindari makanan pedas berlemak,Konsumsi makanan probiotik,menghilangkan susu,Batasi alkohol
Wasir tipe dimorfik,Hindari makanan pedas berlemak,mengkonsumsi witch hazel,mandi air hangat dengan garam epsom,Konsumsi jus alovera
Flu biasa,Minum minuman kaya vitamin C,Ambil uap,Hindari makanan dingin,tetap demam di cek
Cacar air,Gunakan Neem dalam mandi,mengkonsumsi daun neem,Ambil vaksin,Hindari tempat umum
Spondilosis servikal,Gunakan pad pemanas atau paket dingin,latihan,Ambil Reliver Nyeri OTC,Konsultasikan dengan dokter
Hipertiroidisme,makan sehat,pijat,Gunakan Lemon Balm,Ambil pengobatan yodium radioaktif
Infeksi saluran kemih,Minum banyak air,Tingkatkan asupan vitamin C,Minum jus cranberry,Ambil probiotik
Varises,berbaring telentang dan angkat kaki tinggi,Gunakan OinMents,Gunakan kompresi vena,jangan diam lama
AIDS,Hindari potongan terbuka,Kenakan APD jika memungkinkan,Konsultasikan dengan dokter,menindaklanjuti
Kelumpuhan (perdarahan otak),pijat,makan sehat,latihan,Konsultasikan dengan dokter
Tifus,Makanlah Vegitables Kalori Tinggi,Terapi antiboitik,Konsultasikan dengan dokter,pengobatan
Hepatitis B,Konsultasikan dengan rumah sakit terdekat,Vaksinasi,makan sehat,pengobatan
Infeksi jamur,mandi dua kali,Gunakan detol atau neem dalam air mandi,Jaga agar area yang terinfeksi tetap kering,Gunakan kain bersih
Hepatitis C,Konsultasikan dengan rumah sakit terdekat,Vaksinasi,makan sehat,pengobatan
Migrain,meditasi,mengurangi stres,Gunakan kacamata poloroid di bawah sinar matahari,Konsultasikan dengan dokter
Asma bronkial,Beralih ke longgar awan,Ambil napas dalam -dalam,menjauh dari pemicu,mencari bantuan
Hepatitis alkoholik,Hentikan konsumsi alkohol,Konsultasikan dengan dokter,pengobatan,menindaklanjuti
Penyakit kuning,Minum banyak air,Konsumsi susu thistle,makan buah -buahan dan makanan berserat tinggi,pengobatan
Hepatitis E,Hentikan konsumsi alkohol,istirahat,Konsultasikan dengan dokter,pengobatan
Demam berdarah (Dengue),Minumlah jus daun pepaya,Hindari makanan pedas berlemak,Jauhkan nyamuk,tetap terhidrasi
Hepatitis D,Konsultasikan dengan dokter,pengobatan,makan sehat,menindaklanjuti
Serangan jantung,Panggil ambulans,mengunyah atau menelan asprin,tetap tenang,
Pneumonia,Konsultasikan dengan dokter,pengobatan,istirahat,menindaklanjuti
Arthritis,latihan,Gunakan terapi panas dan dingin,Coba akupunktur,pijat
Gastroenteritis,berhenti makan makanan padat untuk sementara,Cobalah minum air kecil,istirahat,mudah kembali untuk makan
Tuberkulosis,Tutup mulut,Konsultasikan dengan dokter,pengobatan,istirahat
