Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Infeksi jamur,gatal,ruam kulit,erupsi kulit nodular,bercak kulit tidak merata warna,,,,,,,,,,,,,
Infeksi jamur,ruam kulit,erupsi kulit nodular,bercak kulit tidak merata warna,,,,,,,,,,,,,,
Infeksi jamur,gatal,erupsi kulit nodular,bercak kulit tidak merata warna,,,,,,,,,,,,,,
Infeksi jamur,gatal,ruam kulit,bercak kulit tidak merata warna,,,,,,,,,,,,,,
Infeksi jamur,gatal,ruam kulit,erupsi kulit nodular,,,,,,,,,,,,,,
Alergi,bersin terus-menerus,menggigil,kedinginan,mata berair,,,,,,,,,,,,,
Alergi,menggigil,kedinginan,mata berair,,,,,,,,,,,,,,
Alergi,bersin terus-menerus,kedinginan,mata berair,,,,,,,,,,,,,,
Alergi,bersin terus-menerus,menggigil,mata berair,,,,,,,,,,,,,,
Alergi,bersin terus-menerus,menggigil,kedinginan,,,,,,,,,,,,,,
GERD (refluks asam lambung),sakit perut,asam lambung,luka di lidah,muntah,batuk,nyeri dada,,,,,,,,,,,
GERD (refluks asam lambung),sakit perut,luka di lidah,muntah,batuk,nyeri dada,,,,,,,,,,,,
GERD (refluks asam lambung),sakit perut,asam lambung,muntah,batuk,nyeri dada,,,,,,,,,,,,
GERD (refluks asam lambung),sakit perut,asam lambung,luka di lidah,batuk,nyeri dada,,,,,,,,,,,,
GERD (refluks asam lambung),sakit perut,asam lambung,luka di lidah,muntah,nyeri dada,,,,,,,,,,,,
GERD (refluks asam lambung),sakit perut,asam lambung,luka di lidah,muntah,batuk,,,,,,,,,,,,
GERD (refluks asam lambung),asam lambung,luka di lidah,muntah,batuk,nyeri dada,,,,,,,,,,,,
Kolestasis kronis,gatal,muntah,kulit menguning,mual,kehilangan nafsu makan,nyeri perut,mata menguning,,,,,,,,,,
Kolestasis kronis,muntah,kulit menguning,mual,kehilangan nafsu makan,nyeri perut,mata menguning,,,,,,,,,,,
Kolestasis kronis,gatal,kulit menguning,mual,kehilangan nafsu makan,nyeri perut,mata menguning,,,,,,,,,,,
Kolestasis kronis,gatal,muntah,mual,kehilangan nafsu makan,nyeri perut,mata menguning,,,,,,,,,,,
Kolestasis kronis,gatal,muntah,kulit menguning,kehilangan nafsu makan,nyeri perut,mata menguning,,,,,,,,,,,
Kolestasis kronis,gatal,muntah,kulit menguning,mual,nyeri perut,mata menguning,,,,,,,,,,,
Kolestasis kronis,gatal,muntah,kulit menguning,mual,kehilangan nafsu makan,mata menguning,,,,,,,,,,,
Kolestasis kronis,gatal,muntah,kulit menguning,mual,kehilangan nafsu makan,nyeri perut,,,,,,,,,,,
Reaksi obat,gatal,ruam kulit,sakit perut,nyeri saat buang air kecil,bercak saat buang air kecil,,,,,,,,,,,,
Reaksi obat,gatal,sakit perut,nyeri saat buang air kecil,bercak saat buang air kecil,,,,,,,,,,,,,
Reaksi obat,gatal,ruam kulit,nyeri saat buang air kecil,bercak saat buang air kecil,,,,,,,,,,,,,
Reaksi obat,gatal,ruam kulit,sakit perut,bercak saat buang air kecil,,,,,,,,,,,,,
Reaksi obat,gatal,ruam kulit,sakit perut,nyeri saat buang air kecil,,,,,,,,,,,,,
Reaksi obat,ruam kulit,sakit perut,nyeri saat buang air kecil,bercak saat buang air kecil,,,,,,,,,,,,,
Tukak lambung,muntah,kehilangan nafsu makan,nyeri perut,buang angin,gatal dari dalam tubuh,,,,,,,,,,,,
Tukak lambung,muntah,gangguan pencernaan,nyeri perut,buang angin,gatal dari dalam tubuh,,,,,,,,,,,,
Tukak lambung,gangguan pencernaan,kehilangan nafsu makan,nyeri perut,buang angin,gatal dari dalam tubuh,,,,,,,,,,,,
